baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H_TUBG1	984.745873114738	-1.03442356165008	0.0875528601365921	-11.8148460260037	3.27147715714221e-32	1.06126718977693e-29
H_PLSCR4	238.284337525755	1.55630522179518	0.131851101684052	11.8035056356562	3.74383046962746e-32	1.19609711034189e-29
H_DHCR7	1897.31980138119	-1.24925645879939	0.106152422372711	-11.7685157896175	5.67135155137398e-32	1.78486744495928e-29
H_YBX2	519.286582375112	-0.857633449451106	0.0728889355465285	-11.7663050368411	5.82190509338645e-32	1.80530427645804e-29
H_UCHL5	833.777466391393	-0.73765100752062	0.0627856533836683	-11.7487191383198	7.16973560227266e-32	2.19102963636988e-29
H_EPB41L2	2589.97853454478	-1.96204407533706	0.167465800337663	-11.7160881289253	1.054288482864e-31	3.17581813566718e-29
H_BCAS3	284.096669801627	0.930757604470274	0.0794970196824421	11.7080817392686	1.15871497390773e-31	3.44122027321385e-29
H_NAA50	3474.27170398348	-0.70052578215445	0.0599244027943791	-11.6901587581639	1.43118833908297e-31	4.19139407193104e-29
H_NUP210	1107.14477562461	-1.06121607594974	0.0910859043230311	-11.6507168023079	2.27536788757577e-31	6.54092113445489e-29
H_TMUB2	918.553100132328	0.537759451282426	0.0461597430210711	11.649966314521	2.29549541852253e-31	6.54092113445489e-29
H_CCDC88B	2267.59913347953	1.44019591595685	0.123705111161511	11.6421698540533	2.51533682750368e-31	7.07178564596569e-29
H_BRI3BP	1885.63019888146	-0.856857524149111	0.0736838675523709	-11.6288348129948	2.94084322443133e-31	8.15929213557356e-29
H_RUVBL2	1938.37232225236	-0.820290697592651	0.0707931666844279	-11.5871451442373	4.78827223715982e-31	1.31124036873704e-28
H_SLBP	1287.65803689828	-0.766018970091625	0.066194110224094	-11.5723131181662	5.69269014553487e-31	1.53892390267626e-28
H_GAPDH	35870.7353189719	-0.817975622697435	0.0707478406947369	-11.5618457703443	6.43113760068571e-31	1.71654389174758e-28
H_HSPA14	432.353576970484	-0.764609973604672	0.0662242842190419	-11.545764255838	7.75490769490869e-31	2.04399979568556e-28
H_TP53INP1	594.188586647507	1.31307649006571	0.114064065365637	11.5117454901908	1.15124362379504e-30	2.99692877177063e-28
H_ENO1	19622.0333307328	-1.23310172642382	0.107416957992139	-11.4795815248656	1.67087257443587e-30	4.2965876956774e-28
H_FAM216A	109.553804616897	-1.4679832810441	0.128082151146219	-11.46126347744	2.06480401274141e-30	5.24559727863438e-28
H_TUBGCP4	607.880114203169	-0.737467770509421	0.0644414357723435	-11.4439996823584	2.51994342576708e-30	6.32565798520532e-28
H_PLA2R1	1690.30140997264	1.65157115975598	0.144335226710098	11.442606198092	2.56075591476376e-30	6.35248226102455e-28
H_CHEK1	601.355566901819	-1.29052227060459	0.112858358110605	-11.4348843294338	2.79909485883341e-30	6.86299002248387e-28
H_MVK	564.607978239632	-1.09550538365119	0.0959554030949389	-11.4168181083799	3.44621277098326e-30	8.35251063091413e-28
H_SFXN1	838.958057642846	-0.727900658623897	0.0637952037066694	-11.4099589989678	3.72905048803619e-30	8.93531347621945e-28
H_KNSTRN	531.590135068898	-1.47744529453106	0.1295060023674	-11.4083151940683	3.80018587725112e-30	9.00345161884461e-28
H_CSE1L	4291.83423293492	-0.974544096970541	0.0855433980481596	-11.3923940269696	4.56278313477088e-30	1.06900939088643e-27
H_THOP1	1210.31095974175	-0.947292461729345	0.0832728110393366	-11.3757713941212	5.52125204906162e-30	1.27935297479685e-27
H_TKT	6494.87187709882	-0.827322962547548	0.072739543990992	-11.3737716399487	5.64926015073681e-30	1.28257191944663e-27
