ERBB2	EGFR	MET
CRC0303	FALSE	FALSE	FALSE
CRC0305	FALSE	FALSE	FALSE
CRC0306	FALSE	FALSE	FALSE
CRC0307	FALSE	FALSE	FALSE
CRC0309	FALSE	FALSE	FALSE
CRC0310	FALSE	FALSE	FALSE
CRC0311	FALSE	FALSE	FALSE
CRC0312	FALSE	FALSE	FALSE
CRC0313	FALSE	FALSE	FALSE
CRC0314	FALSE	FALSE	FALSE
CRC0315	FALSE	FALSE	FALSE
CRC0317	FALSE	FALSE	FALSE
CRC0318	FALSE	FALSE	FALSE
CRC0320	FALSE	FALSE	FALSE
CRC0321	FALSE	FALSE	FALSE
CRC0322	FALSE	FALSE	FALSE
CRC0323	FALSE	FALSE	FALSE
CRC0324	FALSE	FALSE	FALSE
CRC0327	FALSE	FALSE	FALSE
CRC0328	FALSE	FALSE	FALSE
CRC0329	FALSE	FALSE	FALSE
CRC0330	FALSE	FALSE	FALSE
CRC0331	FALSE	FALSE	FALSE
CRC0332	FALSE	FALSE	FALSE
CRC0333	FALSE	FALSE	FALSE
CRC0334	FALSE	FALSE	FALSE
CRC0336	FALSE	FALSE	FALSE
CRC0337	FALSE	FALSE	FALSE
CRC0340	FALSE	FALSE	FALSE
CRC0342	FALSE	FALSE	FALSE
CRC0343	FALSE	FALSE	FALSE
CRC0344	FALSE	FALSE	FALSE
CRC0345	FALSE	FALSE	FALSE
CRC0348	FALSE	FALSE	FALSE
CRC0349	FALSE	FALSE	FALSE
CRC0354	FALSE	FALSE	FALSE
CRC0355	FALSE	FALSE	FALSE
CRC0356	FALSE	FALSE	FALSE
CRC0357	FALSE	FALSE	FALSE
CRC0358	FALSE	FALSE	FALSE
CRC0360	FALSE	FALSE	FALSE
CRC0361	FALSE	FALSE	FALSE
CRC0366	FALSE	FALSE	FALSE
CRC0367	FALSE	FALSE	FALSE
CRC0368	FALSE	FALSE	FALSE
CRC0370	FALSE	FALSE	FALSE
CRC0371	FALSE	FALSE	FALSE
CRC0372	FALSE	FALSE	FALSE
CRC0373	FALSE	FALSE	FALSE
CRC0374	FALSE	FALSE	FALSE
CRC0375	FALSE	FALSE	FALSE
CRC0376	FALSE	FALSE	FALSE
CRC0377	FALSE	FALSE	FALSE
CRC0378	FALSE	FALSE	FALSE
CRC0379	FALSE	FALSE	FALSE
CRC0380	FALSE	FALSE	FALSE
CRC0382	FALSE	FALSE	FALSE
CRC0383	FALSE	FALSE	FALSE
CRC0385	FALSE	FALSE	FALSE
CRC0387	FALSE	FALSE	FALSE
CRC0397	FALSE	FALSE	FALSE
CRC0391	FALSE	FALSE	FALSE
CRC0392	FALSE	FALSE	FALSE
CRC0394	FALSE	FALSE	FALSE
CRC0396	FALSE	FALSE	FALSE
CRC0399	FALSE	FALSE	FALSE
CRC0400	FALSE	FALSE	FALSE
CRC0402	FALSE	FALSE	FALSE
CRC0403	FALSE	FALSE	FALSE
CRC0404	FALSE	FALSE	FALSE
CRC0406	FALSE	FALSE	FALSE
CRC0410	FALSE	FALSE	FALSE
CRC0413	FALSE	FALSE	FALSE
CRC0414	FALSE	FALSE	FALSE
CRC0415	FALSE	FALSE	FALSE
CRC0416	FALSE	FALSE	FALSE
CRC0417	FALSE	FALSE	FALSE
CRC0418	FALSE	FALSE	FALSE
CRC0419	FALSE	FALSE	FALSE
CRC0420	FALSE	FALSE	FALSE
CRC0422	FALSE	FALSE	FALSE
CRC0425	FALSE	FALSE	FALSE
CRC0426	FALSE	FALSE	FALSE
CRC0427	FALSE	FALSE	FALSE
CRC0429	FALSE	FALSE	FALSE
CRC0431	FALSE	FALSE	FALSE
CRC0435	FALSE	FALSE	FALSE
CRC0437	FALSE	FALSE	FALSE
CRC0438	FALSE	FALSE	FALSE
CRC0440	FALSE	FALSE	FALSE
CRC0441	FALSE	FALSE	FALSE
CRC0442	FALSE	FALSE	FALSE
CRC0447	FALSE	FALSE	FALSE
CRC0449	FALSE	FALSE	FALSE
CRC0450	FALSE	FALSE	FALSE
CRC0451	FALSE	FALSE	FALSE
CRC0452	FALSE	FALSE	FALSE
CRC0454	FALSE	FALSE	FALSE
CRC0455	FALSE	FALSE	FALSE
CRC0456	FALSE	FALSE	FALSE
CRC0457	FALSE	FALSE	FALSE
CRC0458	FALSE	FALSE	FALSE
CRC0461	FALSE	FALSE	FALSE
CRC0464	FALSE	FALSE	FALSE
CRC0465	FALSE	FALSE	FALSE
CRC0467	FALSE	FALSE	FALSE
CRC0468	FALSE	FALSE	FALSE
CRC0471	FALSE	FALSE	FALSE
CRC0475	FALSE	FALSE	FALSE
CRC0477	FALSE	FALSE	FALSE
CRC0478	FALSE	FALSE	FALSE
CRC0479	FALSE	FALSE	FALSE
CRC0480	FALSE	FALSE	FALSE
CRC0481	FALSE	FALSE	FALSE
CRC0482	FALSE	FALSE	FALSE
CRC0483	FALSE	FALSE	FALSE
CRC0484	FALSE	FALSE	FALSE
CRC0486	FALSE	FALSE	FALSE
CRC0487	FALSE	FALSE	FALSE
CRC0488	FALSE	FALSE	FALSE
CRC0490	FALSE	FALSE	FALSE
CRC0492	FALSE	FALSE	FALSE
CRC0493	FALSE	FALSE	FALSE
CRC0494	FALSE	FALSE	FALSE
CRC0495	FALSE	FALSE	FALSE
CRC0496	FALSE	FALSE	FALSE
CRC0497	FALSE	FALSE	FALSE
CRC0498	FALSE	FALSE	FALSE
CRC0499	FALSE	FALSE	FALSE
CRC0502	FALSE	FALSE	FALSE
CRC0503	FALSE	FALSE	FALSE
CRC0504	FALSE	FALSE	FALSE
CRC0505	FALSE	FALSE	FALSE
CRC0507	FALSE	FALSE	FALSE
CRC0508	FALSE	FALSE	TRUE
CRC0512	FALSE	FALSE	FALSE
CRC0513	FALSE	FALSE	FALSE
CRC0515	FALSE	FALSE	FALSE
CRC0516	FALSE	FALSE	FALSE
CRC0517	FALSE	FALSE	FALSE
CRC0518	FALSE	FALSE	FALSE
CRC0520	FALSE	FALSE	FALSE
CRC0521	FALSE	FALSE	FALSE
CRC0525	FALSE	FALSE	FALSE
CRC0526	FALSE	FALSE	FALSE
CRC0527	FALSE	FALSE	FALSE
CRC0528	FALSE	FALSE	FALSE
CRC0529	FALSE	FALSE	FALSE
CRC0530	FALSE	FALSE	FALSE
CRC0534	FALSE	FALSE	FALSE
CRC0535	FALSE	FALSE	FALSE
CRC0536	FALSE	FALSE	FALSE
CRC0537	FALSE	FALSE	FALSE
CRC0538	FALSE	FALSE	FALSE
CRC0539	FALSE	FALSE	FALSE
CRC0540	FALSE	FALSE	FALSE
CRC0542	FALSE	FALSE	FALSE
CRC0544	FALSE	FALSE	FALSE
CRC0549	FALSE	FALSE	FALSE
CRC0551	FALSE	FALSE	FALSE
CRC0552	FALSE	FALSE	FALSE
CRC0554	FALSE	FALSE	FALSE
CRC0555	FALSE	FALSE	FALSE
CRC0556	FALSE	FALSE	FALSE
CRC0557	FALSE	FALSE	FALSE
CRC0558	FALSE	FALSE	FALSE
CRC0559	FALSE	FALSE	FALSE
CRC0560	FALSE	FALSE	FALSE
CRC0561	FALSE	FALSE	FALSE
CRC0568	FALSE	FALSE	FALSE
CRC0569	FALSE	FALSE	FALSE
CRC0570	FALSE	FALSE	FALSE
CRC0572	FALSE	FALSE	FALSE
CRC0574	FALSE	FALSE	FALSE
CRC0576	FALSE	FALSE	FALSE
CRC0578	FALSE	FALSE	FALSE
CRC0579	FALSE	FALSE	FALSE
CRC0580	FALSE	FALSE	FALSE
CRC0581	FALSE	FALSE	FALSE
CRC0591	FALSE	FALSE	FALSE
CRC0593	FALSE	FALSE	FALSE
CRC0594	FALSE	FALSE	FALSE
CRC0597	FALSE	FALSE	FALSE
CRC0598	FALSE	FALSE	FALSE
CRC0600	FALSE	FALSE	FALSE
CRC0602	FALSE	FALSE	FALSE
CRC0604	FALSE	FALSE	FALSE
CRC0607	FALSE	FALSE	FALSE
CRC0609	FALSE	FALSE	FALSE
CRC0610	FALSE	FALSE	FALSE
CRC0616	FALSE	FALSE	FALSE
CRC0618	FALSE	FALSE	FALSE
CRC0619	FALSE	FALSE	FALSE
CRC0620	FALSE	FALSE	FALSE
CRC0624	FALSE	FALSE	FALSE
CRC0625	FALSE	FALSE	FALSE
CRC0626	FALSE	FALSE	FALSE
CRC0627	FALSE	FALSE	FALSE
CRC0670	FALSE	FALSE	FALSE
CRC0680	FALSE	FALSE	FALSE
CRC0687	FALSE	FALSE	FALSE
CRC0691	FALSE	FALSE	FALSE
CRC0692	FALSE	FALSE	FALSE
CRC0705	FALSE	FALSE	FALSE
CRC0706	FALSE	FALSE	FALSE
CRC0708	FALSE	FALSE	FALSE
CRC0714	FALSE	FALSE	FALSE
CRC0716	FALSE	FALSE	FALSE
CRC0717	FALSE	FALSE	FALSE
CRC0718	FALSE	FALSE	FALSE
CRC0719	FALSE	FALSE	FALSE
CRC0721	FALSE	FALSE	FALSE
CRC0729	FALSE	FALSE	FALSE
CRC0730	FALSE	FALSE	FALSE
CRC0731	FALSE	FALSE	FALSE
CRC0734	FALSE	FALSE	FALSE
CRC0735	FALSE	FALSE	FALSE
CRC0736	FALSE	FALSE	FALSE
CRC0740	FALSE	FALSE	FALSE
CRC0741	FALSE	FALSE	FALSE
CRC0743	FALSE	FALSE	FALSE
CRC0745	FALSE	FALSE	FALSE
CRC0748	FALSE	FALSE	FALSE
CRC0753	FALSE	FALSE	FALSE
CRC0771	FALSE	FALSE	FALSE
CRC0772	FALSE	FALSE	FALSE
CRC0773	FALSE	FALSE	FALSE
CRC0778	FALSE	FALSE	FALSE
CRC0781	FALSE	FALSE	FALSE
CRC0783	FALSE	FALSE	FALSE
CRC1063	FALSE	FALSE	FALSE
CRC1064	FALSE	FALSE	FALSE
CRC1065	FALSE	FALSE	FALSE
CRC1067	FALSE	FALSE	FALSE
CRC1070	FALSE	FALSE	FALSE
CRC1071	FALSE	FALSE	FALSE
CRC1072	FALSE	FALSE	FALSE
CRC1075	FALSE	FALSE	FALSE
CRC1078	FALSE	FALSE	FALSE
CRC1082	FALSE	FALSE	FALSE
CRC1083	FALSE	FALSE	FALSE
CRC1084	FALSE	FALSE	FALSE
CRC1090	FALSE	FALSE	FALSE
CRC1134	FALSE	FALSE	FALSE
CRC1137	FALSE	FALSE	FALSE
CRC1138	FALSE	FALSE	FALSE
CRC1139	FALSE	FALSE	FALSE
CRC1142	FALSE	FALSE	FALSE
CRC1144	FALSE	FALSE	FALSE
CRC1145	FALSE	FALSE	FALSE
CRC1146	FALSE	FALSE	FALSE
CRC1147	FALSE	FALSE	FALSE
CRC1155	FALSE	FALSE	FALSE
CRC1157	FALSE	FALSE	FALSE
